ChargingStationCode,AverageTime0(seconds),AverageTime1(seconds),AverageTime2(seconds),AverageTime3(seconds),AverageTime4(seconds),AverageTime5(seconds),AverageTime6(seconds),AverageTime7(seconds),AverageTime8(seconds),AverageTime9(seconds),AverageTime10(seconds),AverageTime11(seconds),AverageTime12(seconds),AverageTime13(seconds),AverageTime14(seconds),AverageTime15(seconds),AverageTime16(seconds),AverageTime17(seconds),AverageTime18(seconds),AverageTime19(seconds),AverageTime20(seconds),AverageTime21(seconds),AverageTime22(seconds),AverageTime23(seconds)
CS00,24.972000000000005,24.30225000000005,0.0,5.745108894000106,10.253792356499964,0.0,0.0,52.216829165596806,281.13859407798117,525.8556247546375,876.62411175109,893.573694506882,893.8437572998901,636.9150474128252,405.452622745039,206.48008454407,107.79982143174662,95.30027928893782,321.66641945471673,643.275926279286,1059.8827412355618,824.3638798719135,549.3709182661723,269.21050309375835
CS02,11.76496321684664,56.15198689440575,5.654191057634518,33.95895444039566,116.69314070112796,23.227167412173255,50.24883794495767,27.305753663115286,291.18677947777195,575.9795766375802,936.6075725559396,925.5846286502174,921.8743780051162,724.7679788220623,415.4819398580618,280.8007892039708,155.7190051776364,146.44740701286855,363.0609372918063,697.1979735014871,1097.009446722681,928.0228031081303,561.2040963160409,278.98233009410256
CS04,34.64881676275769,36.19733882219027,23.720273234297036,25.51048674284722,72.43436701091072,26.957711190670256,68.732404116825,63.92968727856559,298.740927911289,538.6770177374208,910.8612723309728,990.8352812250146,964.2476354405707,763.4781753332848,481.3037648257029,331.7521977600044,189.77876640342524,199.15409401285766,404.8856166743715,677.1804767463278,1155.6332027009778,964.4715006667944,609.7151260053157,327.01222946599506
CS06,66.66340959697561,39.380855663064025,66.70855654124306,116.90606229166072,72.52496562987335,77.1957982094408,140.5166768584101,142.09352802999302,297.4858962191373,655.5975740884018,961.1386348650824,993.1838846173191,1018.1233665367506,732.0056892581614,540.1966572492918,341.80617953164267,218.66680647792552,273.34809751234513,434.1842770639735,734.5583261510087,1155.5363244833393,869.8327195323762,569.9673753007245,400.95312095198614
CS08,58.137299522221234,95.31175797639622,145.6995269060325,108.45885702548269,136.81819665458755,73.49471646870185,166.83774367742745,159.75964716643517,400.21271185994965,687.3483311348116,973.5286391261815,999.8298214810104,1024.174341057218,830.6262623377968,648.4477997121236,435.69647200877444,261.7575914111469,306.32131074586505,458.53532381911754,837.3953681834989,1170.9219133653794,1071.4950167857914,678.3216650401912,413.18650179574286
CS20,19.794600811861944,60.834687256738356,19.179255009610305,15.633224599999982,32.22996456503051,24.819513056540888,45.24515522294029,28.26064760306485,294.2941065387772,531.6832781286109,894.1643407509455,990.2621557434637,1007.2438360436253,664.2316519677922,422.80089394024174,215.81200617841213,179.14683014462338,169.76827276673853,449.22863317424935,726.7343809327448,1104.3808095775003,921.3360729629345,539.6949162748269,312.9864468640321
CS22,62.86251102245012,60.28332416225363,40.61630898670363,39.51551541418674,55.37444852918407,34.914497912683224,69.25730693975208,65.64401239587656,307.6132044311876,629.4418340052208,909.3261152971317,999.9575843879059,996.2499130391122,705.632525496289,471.2033211418596,316.2381656342937,187.7054056316255,220.50038785365223,469.5459163872674,749.1225971280224,1134.1167899100762,923.6391922331522,588.2527558511333,349.20513824295085
CS24,64.2713449032702,50.066171783115955,58.1564258622044,48.65634074479003,81.09601863692016,69.64949280284816,97.15489274199696,117.62459813168255,346.03056999568884,637.544877102241,997.5667774697856,1039.6072458976491,1005.2311675198091,808.259761726731,562.4132395818023,284.302213531383,248.83555235327208,263.8664513106093,488.23328854848177,747.665295138267,1221.642027668533,997.2615949783861,642.1652734947281,363.09015620207333
CS26,57.84331972057239,97.59364579400595,103.27642907026568,83.889769297426,119.76036295580461,102.31274390618024,152.54327267517775,153.66525009935364,364.47396998008725,727.6095395070939,1022.1060776985692,1029.43827087205,1056.4818185099807,876.2997819423894,592.29329598489,373.83002116376394,255.56387678224118,318.0542191812295,485.3201925329951,834.4752899987543,1227.4372091334792,1010.0003198798391,646.2697547561577,441.28381559444654
CS28,95.61821886607426,107.66445697812907,130.9648353228038,115.98737373659556,127.19501831173697,120.87235324082035,200.25937467461713,218.2862578056181,406.2321906153832,772.8927638026428,1082.0262691899247,1104.9270885477604,1093.90975057215,902.6576079670356,668.7894204875472,420.6710892587454,307.19870975511213,363.12076609704644,560.4204336637138,905.2351318599407,1253.8018602135114,1105.015801980276,702.0062903371548,480.91571908505597
CS40,28.770009717163035,36.559312589067076,72.22655551817927,61.0322350321575,56.63961571091016,75.85251384657218,66.12210373036903,81.62602213616877,299.0478042977651,592.6619171876686,923.3212577672575,991.9558005133982,987.0686246275818,749.515432120982,532.244127832288,298.82954316105736,170.57709211007972,208.57332706094778,466.58498372224113,726.1706250223934,1133.119061536536,936.514459691557,551.2957845516257,394.14832989219497
CS42,38.63715333957959,84.66355429156314,93.48288998737009,68.77446159452597,84.27724128222698,107.7239328588726,119.2528266344926,91.81845372230077,333.285234908399,651.0796186702812,941.3953785620216,1071.66981122844,986.1606486520319,807.3552946548269,490.17733827810525,307.7176586687312,190.47338037645324,275.04194018455144,501.4957267040026,766.255569327512,1216.9312662954137,944.4637100393444,628.1737236264684,426.641212872705
CS44,64.9385673109198,74.04500869652213,64.30726878837783,50.88403961765124,114.68644285230535,88.01501023307087,142.95908521099423,136.6258667867253,341.08142075366453,736.2114670083894,994.5371551230686,1094.9756558697552,1065.9769965658668,840.4186781513908,584.050915485199,349.1725664673691,271.51925773717227,299.0985575881852,529.12035046365,794.88310376272,1244.9232052069601,1045.201468142282,680.1220756246265,405.10222406192065
CS46,92.60964232275029,124.11208912130996,143.0160603592374,81.56628265694566,116.24036158279674,115.21915532536568,197.55696777135918,159.6079223025331,429.23657534256256,755.526293343916,1059.1542647213194,1118.5067739556857,1094.1093766520569,944.2798707043667,618.3823704591383,436.09175432816755,322.80822479440184,338.9408457690991,570.4138437570645,825.8345377678951,1288.5759720337794,1093.1313593628959,756.6703589963813,497.47593345412116
CS48,131.49499127607416,176.78446990414938,148.3906785732072,115.5503543199394,151.87313350881425,139.72619664893497,211.34460723043276,237.18888623903922,433.4244855881776,793.4463122021771,1063.6468911164288,1167.0682477560765,1142.0352114340571,985.9925910573423,630.6343981591455,487.327721775175,375.0222123396621,373.9194683487461,610.0057080349782,922.5092380189554,1319.3714384265966,1114.415262894365,786.6664716860665,467.58769498079863
CS60,38.5891971543722,56.24778415113904,71.42349346143214,24.814263456557864,50.547091232487084,67.8866173457123,121.60227947618073,116.55954392467395,311.11971294220746,678.6865412833654,981.8516791087984,1024.8354711076215,991.3436867536749,768.9005390370257,464.3550447261494,285.33737644371337,244.49428325357366,256.11714497647034,467.3181107803207,773.3894222065179,1203.7863692132469,1000.327249551025,651.0194097332359,381.00198558668643
CS62,69.00561553543358,56.70426447138385,98.01473138787904,70.2061964622872,88.54307499055096,94.99067680610423,150.8261528909628,120.85221146171304,348.7583232974609,735.9040800672543,981.5257513504757,1027.791637905435,1050.843323651617,838.9530372839727,578.1303546122153,334.76876622093596,243.0745325338515,249.0336639201878,574.0482974233332,829.8433029961716,1263.0748634321694,1064.8679014536112,632.9733535391991,372.93626455528823
CS64,60.72519553599291,82.99476539740458,94.01979536879543,68.74038649017712,114.41871206753538,124.0666011889715,186.3062182486259,140.14883474958606,358.95969580698124,784.9193861578183,1051.431863760523,1135.9372788602789,1137.0051061688473,882.6138165769719,629.438191379311,339.6931289090696,305.56997966199657,295.908606573601,596.0090202599816,899.6338830925031,1300.044097556294,1124.5671102151157,743.1066132420189,417.0838893409904
