ChargingStationCode,AverageTime0(seconds),AverageTime1(seconds),AverageTime2(seconds),AverageTime3(seconds),AverageTime4(seconds),AverageTime5(seconds),AverageTime6(seconds),AverageTime7(seconds),AverageTime8(seconds),AverageTime9(seconds),AverageTime10(seconds),AverageTime11(seconds),AverageTime12(seconds),AverageTime13(seconds),AverageTime14(seconds),AverageTime15(seconds),AverageTime16(seconds),AverageTime17(seconds),AverageTime18(seconds),AverageTime19(seconds),AverageTime20(seconds),AverageTime21(seconds),AverageTime22(seconds),AverageTime23(seconds)
CS00,0.0,0.06288959880000015,0.0,0.0,0.0,0.0,0.0,36.709718800000054,129.32016753338485,487.272877705682,891.1795303618011,951.572936717087,833.2571109746289,531.4543991218462,318.3275493455348,128.24416321262424,100.4476556217201,120.60970202604592,356.30162070115927,587.7970783784124,931.9832878916706,718.8025179257296,574.3414883410596,300.7423006595844
CS02,38.87330678679273,4.5124714013813785,46.49020199437206,29.86176665830337,24.465205302896425,17.320112415778716,48.98365150106078,130.8705911385957,296.15875504257366,543.6007818160483,1001.9225484646093,1093.4105728412483,962.417060130488,636.8513282702434,364.61292375393276,225.22617325248325,191.2280118458427,206.58108067486398,447.6029198385185,804.1807738935571,1106.8848890715321,925.60037781213,678.5529850469296,412.02475486890677
CS04,81.81417553649582,27.674301357708654,55.21199970276693,37.05010575915024,56.671080267194526,51.829555627927505,101.61588578640898,124.20079819445345,345.28418898732616,626.4527901726268,1052.9655757949938,1080.3149449299644,1009.0995230077363,788.2827589761317,520.1490516146016,342.3153814867929,242.1597304843551,300.9368365865498,509.67907057523706,774.5856621137544,1176.120466012406,1017.8293659919442,711.2036283918796,476.8858474655213
CS06,33.06247416556114,31.11526455516575,56.723857639563086,21.92457913668374,39.82659959774615,111.17320810950451,56.5730531799033,118.92651049718087,379.3062859776038,702.7206462967335,1086.2042905589676,1134.9489168683838,1095.5647292519739,732.3973031244444,540.9905216780857,304.9464987612429,287.3063810247272,377.281696864808,506.52117799161323,864.1851137580188,1229.662190445317,1009.3908948775342,721.3151709220868,396.21261054192246
CS08,32.348464436864184,28.52000621700087,60.86116189052374,27.133919629574038,61.7599008860252,37.75567292126797,91.42318627466224,131.3475984933878,328.5580529437855,694.1716751843682,1076.3329814493231,1090.2232610514582,1000.0788387890925,859.3682120200149,588.901086954019,277.83805200913366,216.97825053909568,308.71756916112787,516.5922390261703,833.4659812984272,1234.7443004005181,1013.8530694879681,771.8083420034858,504.90329782113906
CS20,6.035239350000001,39.5603243892919,10.798323714407815,39.44416837845133,43.88508950921176,46.164649987851604,73.45061970373271,132.35958627864684,272.3062713147023,624.195911269345,1005.5879413555158,1024.3586938453814,947.8766974920712,707.1317012983121,391.7229756650189,210.51803448271363,209.76815984779876,209.86041175774656,451.42765846733255,751.2386244033711,1099.7610201579644,906.6009144656311,620.5409222054217,396.5691697914012
CS22,89.52192701763838,71.75884637838286,115.72471043001198,149.80173177715085,113.79763275731122,102.90271970312357,183.3067065581187,230.71309158594636,423.6269099810084,708.560765257907,1147.1142893735337,1161.352977340433,1100.849183722809,813.750575141288,482.94004979100055,283.4849260572705,339.55051393912123,319.1880796672009,543.1975064760655,936.7011302787405,1193.9785219572761,1084.0082599053399,745.8215243822924,488.4248881434794
CS24,124.98646384990279,123.834172748174,176.78248135569092,68.64498649689477,90.35611374318012,144.64066609779024,217.72872240174092,242.92753998402097,459.8058315239269,823.0031606950828,1209.551802646293,1236.7463977596362,1176.094942473269,914.4156685290545,627.7960315910786,312.10545925795134,349.8334632161937,396.16780942827154,623.6431222453637,954.9282471014371,1299.985816577962,1037.5432426957263,813.6182636138099,576.8742214107087
CS26,154.84269566416447,134.601620607512,168.1389750290542,146.4202557435711,123.9776938870929,139.23297365368714,220.79969625703194,301.4167889578748,531.8873626341533,812.9353169841349,1207.0980529717133,1272.4577803270126,1221.3655000961603,892.1121243175876,706.523050871338,445.1470562119411,380.12942561406123,396.0178485987502,659.8291704946707,992.1232530134448,1292.9832868612746,1110.0603848101757,846.3398456253789,616.3973959560552
CS28,188.0655760903335,182.22032381622284,108.65630746652528,103.80699975493873,130.70806072676248,153.9190261897301,178.5072486358907,285.88332203665476,558.9080521566636,831.5647417686458,1208.8016935063135,1233.5860396337926,1187.4150118349087,906.9490336840423,667.5553714162252,413.1279555479414,404.0675597551819,481.0625756893775,750.9714111522343,1032.7785652248301,1350.0898644556091,1078.499683195581,931.2853866663736,667.5418701597007
CS40,24.623805665394656,90.91755969927374,80.66547932085268,79.82881097043614,68.73387522208881,83.87682726965886,67.87484425335909,89.6909329627437,332.91722025919864,685.1889638646451,1033.2554199833255,1064.6675657401158,1013.0352654658956,652.0145879099347,523.3063595710496,207.93511656734393,216.22047031465414,269.6670412550544,515.0330902944451,832.29826388502,1132.193165583322,1028.7436524879188,719.3606223186713,464.1431903394093
CS42,76.02115245966381,172.14454855242892,138.46724438096808,147.32883640480998,173.7782530287203,153.21752040984921,200.6306432126559,256.32743082571295,461.6608089606696,816.2619800085985,1217.0596349315515,1260.5541228951618,1196.3949895329456,925.7655635869769,630.281921410215,333.96319539960166,385.38087356956976,428.7338335603825,696.624956587634,955.3964922386629,1227.0203198530226,1190.6696662188551,820.2703862152026,617.8621456481959
CS44,130.318605840589,135.56554969641707,203.4237205814077,206.2735388206313,206.72558981785528,165.08287726441452,235.60961699741424,236.53536190113678,556.6887482081805,838.4776500586268,1257.692250909097,1286.761017404436,1183.4199801801074,993.2318274914375,699.4543631513935,477.14212954610576,396.3497667832807,439.00946042515255,706.7441454368045,1040.0391883533039,1347.5242025514576,1156.3482174183573,888.6901554313712,683.7153856978953
CS46,200.93505146020524,193.49658767784112,159.7554394107811,189.4406048635716,214.1526439655243,169.77657313867567,224.26482699369294,303.3390006931814,602.8427968097765,931.4014321263968,1261.6791511217234,1320.6397704321048,1312.2248413673171,962.81521900243,712.1434431809216,465.5625830721863,445.92400630378813,508.6300372171398,760.8203693354329,1072.2998544906175,1466.5967380798186,1158.2696035186557,1024.6325102139679,707.2272916873941
CS48,164.3513088427718,184.2945966115508,161.17586066521704,205.44558979239,214.0887898314582,186.15606499909805,216.33116945534027,281.3171413059279,568.1497482933078,879.2495060383252,1248.273504705708,1296.9523488437992,1256.1419281749609,1035.0240740194122,697.7837232230137,520.2890230897061,434.5775491892602,475.4085039158234,754.0974044911629,1026.5801781318721,1359.439128784312,1175.8599946018198,964.5269359114653,670.2029414029648
CS60,35.04218284713878,82.03839349013055,47.16358892518936,90.1886599326767,38.569353349238284,63.79565089481939,110.36068867433289,110.95029422781624,342.2616358331629,646.4293553901038,1050.0574311145895,1131.3936781752982,987.9628821483514,710.2876305091283,505.4512482055023,322.4360997934217,273.6229937763225,307.57398412132426,470.09056029464153,853.894098884336,1118.2229783357961,1083.9162940333747,761.4993684569015,503.84484596779174
CS62,100.17301618335613,163.4800262314996,140.9309777628259,162.28103955298408,148.7699459241846,183.52369814572828,164.99664980387942,177.13830078352723,521.5802445483519,871.2780761547679,1225.4867475725434,1311.1239827410416,1185.425001688589,924.4378869919536,666.5149579131246,401.96914910904394,419.3187434182508,471.9501956507351,648.8250294566266,1004.3217089561357,1213.5655948856195,1215.9499069693518,825.320766730086,595.8049763683971
CS64,172.76015066510595,206.6178692761261,202.31053745690687,221.85324363696455,183.08669277780297,245.47767543579903,255.3727379963538,227.77790614630138,576.3883849303282,914.8159207476954,1329.7968226053124,1374.866860034767,1324.1107011505806,1038.304977999443,663.798467954312,533.9541220984067,484.8484541981572,535.026427469928,739.7244951235973,1055.3943120951606,1326.9893941441771,1167.6951219999978,978.398536281777,727.3331593678214
CS66,171.80281522879503,228.65102220174205,242.29236782293586,233.69584532013528,209.57359526908394,209.19839607748773,260.8789350478494,330.73055055809385,567.2421232322204,892.7603373833773,1284.6130489691689,1393.1312210455205,1336.1088488574405,1016.2454773827587,753.3950133241959,546.8394543414751,479.58731875352794,566.176175992944,754.8899725099516,1136.814575566695,1408.2754960367972,1221.0205022423393,940.5818839696324,683.8478135814227
CS68,209.44668782966235,189.905316063084,165.724268955107,247.6906161174648,170.28084497523838,187.23947663597616,285.959215303141,274.3787751784298,550.4759447215132,875.0891547326629,1247.9691364082423,1338.0684234196583,1320.02926405773,1022.7694122156888,742.1258740847861,424.8597625885541,491.1134401509955,623.2740429332631,711.7172786317985,1048.1786688547502,1421.1815265406974,1173.4034974870453,1040.6921212252003,678.9109299993012
CS80,18.912449539616624,67.44765718678532,72.63706402824417,79.97449008172535,108.85861663031044,44.20619237177351,145.18143539523754,104.6017466560607,387.0144948204971,659.561757881778,1040.3771584730948,1139.9228077027642,1028.446274042457,712.2283428404783,526.4093383499404,335.18739684646727,260.49661364589133,309.85836562287733,475.4253391896765,743.6051228689136,1138.1572075658678,1063.3993969456842,755.9344518820122,494.87323855870136
CS82,121.15232158867782,163.25263741722227,133.83622534440664,237.72542351240924,143.47528714360047,184.6170592968099,238.07581273964388,243.1621742873915,516.4099690692875,820.9345811113521,1241.4917776082564,1272.8103559841418,1226.6232577557116,984.6894320463424,679.2007691901833,418.9793883445747,358.93516547207776,404.4612286178925,694.9346850664707,1012.3688478484335,1291.3730162257118,1147.2663336352466,859.2204686203645,662.5354171383935
CS84,150.0868778117823,176.80979498163254,236.2977234365898,274.21151301311994,287.3435654201806,222.1379221784938,296.2854047054652,260.1893701271785,503.28398023876207,912.0076977061226,1272.4811558496078,1389.4828660850685,1297.1141247408984,1071.7947294242751,749.8517946169372,459.9568337931329,442.5154529319307,604.623156209494,732.9136185305302,1070.522799277624,1385.0829050827685,1207.2137967678682,955.7801789722498,718.4728298401792
CS86,155.24820329756494,258.3974665931284,231.7504759670916,250.4170770294746,277.9473393587716,247.50408484541003,304.1747783265742,321.544236052549,642.1021294430144,852.6040558173827,1338.568202264378,1421.175829555793,1290.1682031090995,1099.6172500390917,813.9623945254077,471.34777822051365,479.70100575980837,563.5081950403255,764.2111057907191,1105.8590410352433,1389.5824096633066,1240.350735878762,967.8269107281956,690.6365322919946
CS88,223.18263123443825,250.10925487070986,248.47583455479324,309.0955549871077,217.25252413990393,241.53529874046518,339.91531869808125,364.7270088887833,604.0145556202605,955.1270414052427,1300.1926582692392,1510.2765473822483,1373.4909306043533,1097.5217185769875,775.2937021859574,526.9636155045266,472.1903216651556,605.475300404611,844.4211025436648,1015.0244986642601,1372.6281856592718,1274.4166119920908,949.3878962168917,789.0837459208866
