index,randomTime0(seconds),randomX0(meters),randomY0(meters),soc0,destX0(meters),destY0(meters),batteryCapacityUser0(kwh),ecrUser0(kwh/km),randomTime1(seconds),randomX1(meters),randomY1(meters),soc1,destX1(meters),destY1(meters),batteryCapacityUser1(kwh),ecrUser1(kwh/km),randomTime2(seconds),randomX2(meters),randomY2(meters),soc2,destX2(meters),destY2(meters),batteryCapacityUser2(kwh),ecrUser2(kwh/km),randomTime3(seconds),randomX3(meters),randomY3(meters),soc3,destX3(meters),destY3(meters),batteryCapacityUser3(kwh),ecrUser3(kwh/km),randomTime4(seconds),randomX4(meters),randomY4(meters),soc4,destX4(meters),destY4(meters),batteryCapacityUser4(kwh),ecrUser4(kwh/km),randomTime5(seconds),randomX5(meters),randomY5(meters),soc5,destX5(meters),destY5(meters),batteryCapacityUser5(kwh),ecrUser5(kwh/km),randomTime6(seconds),randomX6(meters),randomY6(meters),soc6,destX6(meters),destY6(meters),batteryCapacityUser6(kwh),ecrUser6(kwh/km),randomTime7(seconds),randomX7(meters),randomY7(meters),soc7,destX7(meters),destY7(meters),batteryCapacityUser7(kwh),ecrUser7(kwh/km),randomTime8(seconds),randomX8(meters),randomY8(meters),soc8,destX8(meters),destY8(meters),batteryCapacityUser8(kwh),ecrUser8(kwh/km),randomTime9(seconds),randomX9(meters),randomY9(meters),soc9,destX9(meters),destY9(meters),batteryCapacityUser9(kwh),ecrUser9(kwh/km),randomTime10(seconds),randomX10(meters),randomY10(meters),soc10,destX10(meters),destY10(meters),batteryCapacityUser10(kwh),ecrUser10(kwh/km),randomTime11(seconds),randomX11(meters),randomY11(meters),soc11,destX11(meters),destY11(meters),batteryCapacityUser11(kwh),ecrUser11(kwh/km),randomTime12(seconds),randomX12(meters),randomY12(meters),soc12,destX12(meters),destY12(meters),batteryCapacityUser12(kwh),ecrUser12(kwh/km),randomTime13(seconds),randomX13(meters),randomY13(meters),soc13,destX13(meters),destY13(meters),batteryCapacityUser13(kwh),ecrUser13(kwh/km),randomTime14(seconds),randomX14(meters),randomY14(meters),soc14,destX14(meters),destY14(meters),batteryCapacityUser14(kwh),ecrUser14(kwh/km),randomTime15(seconds),randomX15(meters),randomY15(meters),soc15,destX15(meters),destY15(meters),batteryCapacityUser15(kwh),ecrUser15(kwh/km),randomTime16(seconds),randomX16(meters),randomY16(meters),soc16,destX16(meters),destY16(meters),batteryCapacityUser16(kwh),ecrUser16(kwh/km),randomTime17(seconds),randomX17(meters),randomY17(meters),soc17,destX17(meters),destY17(meters),batteryCapacityUser17(kwh),ecrUser17(kwh/km),randomTime18(seconds),randomX18(meters),randomY18(meters),soc18,destX18(meters),destY18(meters),batteryCapacityUser18(kwh),ecrUser18(kwh/km),randomTime19(seconds),randomX19(meters),randomY19(meters),soc19,destX19(meters),destY19(meters),batteryCapacityUser19(kwh),ecrUser19(kwh/km),randomTime20(seconds),randomX20(meters),randomY20(meters),soc20,destX20(meters),destY20(meters),batteryCapacityUser20(kwh),ecrUser20(kwh/km),randomTime21(seconds),randomX21(meters),randomY21(meters),soc21,destX21(meters),destY21(meters),batteryCapacityUser21(kwh),ecrUser21(kwh/km),randomTime22(seconds),randomX22(meters),randomY22(meters),soc22,destX22(meters),destY22(meters),batteryCapacityUser22(kwh),ecrUser22(kwh/km),randomTime23(seconds),randomX23(meters),randomY23(meters),soc23,destX23(meters),destY23(meters),batteryCapacityUser23(kwh),ecrUser23(kwh/km)
0,38,2920,540,0.054,9173,5515,26.5,0.185,3620,7160,1637,0.057,7052,1525,30.0,0.205,7225,3821,5316,0.033,8283,8013,26.5,0.17,10802,3696,6762,0.033,4928,592,23.0,0.18,14416,5754,4323,0.036,4761,3014,22.5,0.195,18052,7505,4218,0.056,7530,4950,26.5,0.17,21627,2801,3341,0.049,9500,3955,31.5,0.17,25201,4605,2692,0.043,6083,6635,27.0,0.17,28800,2086,1913,0.039,9279,3133,26.5,0.185,32458,4561,6841,0.031,8934,383,22.0,0.2,36010,1572,6947,0.036,9265,1885,22.5,0.2,39604,3807,8781,0.055,1206,5883,29.5,0.165,43265,7683,4716,0.046,8461,8981,23.0,0.18,46800,3438,1933,0.044,8544,9246,22.0,0.17,50404,7483,854,0.04,3176,2443,22.5,0.19,54015,5867,1151,0.059,5131,6830,32.0,0.195,57669,4649,3306,0.057,7523,7657,22.5,0.205,61249,2678,2654,0.049,9529,6636,23.0,0.205,64800,2261,6301,0.037,9636,7107,32.0,0.19,68404,3562,3159,0.057,8969,1058,22.5,0.19,72017,252,7661,0.058,3439,7846,27.0,0.185,75683,3209,2769,0.058,7770,3112,26.5,0.2,79220,4689,6019,0.046,1197,3540,31.5,0.205,82809,5748,3299,0.051,6703,1488,30.0,0.2
1,47,5476,1968,0.059,8349,5679,31.5,0.195,3658,8484,7090,0.044,5874,1378,29.0,0.2,7243,2976,5595,0.033,178,9037,30.0,0.16,10808,3302,2930,0.032,7894,5787,22.5,0.18,14420,4935,4227,0.054,9804,2263,31.5,0.2,18057,2409,7143,0.044,2281,4366,29.0,0.18,21654,138,380,0.032,7976,3821,27.0,0.165,25222,2359,7674,0.05,3790,4838,30.0,0.19,28814,5677,6110,0.044,5162,2513,26.5,0.205,32495,4564,1628,0.037,6222,3819,29.5,0.21,36014,7092,2843,0.043,1420,4430,29.0,0.165,39627,1679,3261,0.04,7974,7481,29.0,0.185,43272,6760,8636,0.049,155,1674,27.0,0.195,46816,5288,7626,0.055,4517,3390,30.0,0.2,50454,4795,7051,0.036,6267,7907,22.0,0.185,54020,6616,3637,0.051,4911,5463,29.0,0.18,57738,8925,4950,0.037,3978,6631,26.5,0.195,61252,6915,8202,0.056,9263,2521,27.0,0.185,64807,3233,8347,0.049,9682,9642,30.0,0.19,68414,7616,5474,0.059,4485,7639,26.5,0.21,72030,6535,5298,0.054,6632,1093,27.0,0.17,75700,4814,8816,0.056,2963,7090,26.5,0.2,79237,4636,2995,0.036,9595,6454,30.0,0.16,82820,3759,6850,0.059,5453,1483,22.0,0.195
2,88,4662,636,0.056,5605,2536,26.5,0.21,3675,2214,5054,0.054,9421,908,30.0,0.19,7244,5407,5005,0.034,2028,5108,30.0,0.165,10813,4824,300,0.052,1036,7916,29.5,0.21,14447,4517,1789,0.057,2314,8982,29.0,0.21,18061,4833,5156,0.032,2187,5587,22.0,0.21,21656,5814,424,0.051,5017,7423,29.0,0.2,25266,2830,2740,0.032,979,2459,26.5,0.165,28825,2119,2414,0.056,206,5312,29.5,0.205,32515,8481,1780,0.047,7427,8361,30.0,0.18,36039,4705,8821,0.034,8038,9663,22.0,0.16,39628,5678,3089,0.041,673,3818,26.5,0.205,43305,3407,4132,0.031,4642,5202,26.5,0.17,46818,1038,5164,0.043,7648,2176,32.0,0.165,50461,8610,7336,0.057,8475,4392,29.0,0.2,54032,2814,3363,0.05,296,776,26.5,0.19,57746,7010,872,0.051,5669,2225,32.0,0.18,61253,5525,338,0.037,5308,6839,22.5,0.19,64810,8108,7161,0.037,4101,9843,22.5,0.16,68433,6444,1389,0.056,375,7814,27.0,0.195,72058,1142,1917,0.055,4648,6619,31.5,0.165,75743,463,47,0.047,7144,7650,27.0,0.17,79249,7022,3985,0.045,6321,6987,23.0,0.17,82830,3296,721,0.049,6892,342,29.0,0.195
3,120,708,7926,0.039,7246,9410,31.5,0.195,3709,8170,4495,0.046,6297,1267,30.0,0.205,7249,3222,2089,0.036,6880,1403,22.0,0.205,10830,8543,3081,0.049,1317,7298,22.5,0.19,14459,4236,8329,0.041,7684,5053,30.0,0.185,18080,5586,7084,0.038,5341,1568,30.0,0.19,21664,5666,5526,0.06,9351,6221,29.0,0.165,25266,6416,7884,0.055,7677,8184,27.0,0.2,28879,3389,5833,0.055,6900,4394,31.5,0.205,32526,1959,5823,0.047,3417,3336,22.5,0.185,36076,5374,6330,0.042,8722,7352,27.0,0.185,39634,8101,1788,0.044,2163,6222,32.0,0.165,43318,2877,3947,0.047,8970,2303,26.5,0.16,46854,6990,746,0.047,2898,6128,29.5,0.185,50470,7684,667,0.058,4942,9947,31.5,0.19,54034,6697,4332,0.054,9004,5019,29.5,0.19,57751,3638,5649,0.046,1510,5206,30.0,0.195,61256,5517,2202,0.043,2295,5554,22.0,0.165,64814,7090,6569,0.054,2988,5325,32.0,0.195,68505,5526,7174,0.032,3385,1855,31.5,0.205,72059,2430,488,0.048,8863,7249,29.0,0.18,75808,4319,7350,0.04,4412,7420,32.0,0.21,79290,6098,8665,0.058,7997,3755,31.5,0.195,82837,2607,63,0.037,7581,9514,26.5,0.17
4,135,4198,7655,0.032,4527,1937,22.5,0.18,3725,1155,3143,0.031,2968,5829,27.0,0.165,7251,2693,7224,0.06,4981,9918,27.0,0.18,10833,4355,2924,0.038,5020,4949,31.5,0.18,14476,7103,4968,0.06,3801,5694,26.5,0.16,18090,8880,6294,0.041,363,2626,22.5,0.17,21673,7834,7996,0.031,6871,7130,22.5,0.165,25290,7703,6586,0.047,4875,9419,32.0,0.165,28898,945,7044,0.054,6796,9440,30.0,0.17,32576,2427,3233,0.055,363,8788,29.0,0.17,36078,555,1261,0.04,2323,6634,31.5,0.21,39655,6844,3510,0.042,9520,8497,22.0,0.185,43394,6259,5847,0.039,4260,4564,27.0,0.205,46880,988,4922,0.038,7362,9472,22.5,0.18,50489,5254,8331,0.046,1242,3618,32.0,0.21,54061,2885,5700,0.042,8831,3052,22.5,0.165,57823,5353,3103,0.051,4154,1200,22.5,0.19,61266,1599,113,0.032,2016,5033,26.5,0.185,64822,3506,2579,0.057,4934,505,29.0,0.21,68543,5721,897,0.05,7352,8391,27.0,0.16,72081,8328,3659,0.031,5408,9726,26.5,0.165,75834,2319,195,0.037,6389,7671,26.5,0.18,79298,8422,8449,0.042,4652,8112,30.0,0.165,82866,2820,6967,0.033,7866,914,29.0,0.185
5,137,3610,2316,0.035,3472,1321,30.0,0.16,3753,3145,4303,0.032,1870,9407,22.5,0.195,7265,7132,3944,0.046,7617,8133,22.0,0.21,10896,6855,4526,0.039,7707,6402,26.5,0.16,14484,583,2018,0.055,9763,2870,23.0,0.2,18118,6250,6375,0.048,4250,1114,32.0,0.195,21687,756,944,0.059,5416,853,26.5,0.205,25294,6094,6725,0.051,4875,5988,31.5,0.17,29024,7271,4690,0.038,4154,2650,30.0,0.21,32583,1694,3022,0.042,5846,1935,29.5,0.205,36082,8954,5620,0.058,2947,4762,27.0,0.165,39657,4946,2493,0.046,8595,7187,29.0,0.19,43431,6553,1250,0.058,9143,2929,22.0,0.17,46890,1889,6944,0.032,9825,1199,32.0,0.165,50500,6757,6763,0.054,9915,9455,26.5,0.21,54064,3851,1674,0.055,555,1508,30.0,0.18,57833,4926,5013,0.046,150,4225,22.5,0.185,61273,5336,1531,0.059,7175,7245,22.0,0.21,64891,4360,7544,0.038,6045,5604,23.0,0.205,68556,8989,2374,0.054,8627,4553,22.5,0.195,72089,1838,8771,0.043,1759,534,30.0,0.185,75867,7162,7974,0.05,7863,842,32.0,0.18,79358,8656,7543,0.056,4122,8934,27.0,0.165,82953,5964,7777,0.044,946,5868,32.0,0.165
6,140,3530,5254,0.057,8067,2891,31.5,0.205,3763,1935,2436,0.04,3781,2202,22.5,0.18,7315,7499,4551,0.036,4691,6305,22.5,0.2,10896,1992,48,0.055,9385,2296,27.0,0.165,14539,2475,5527,0.036,6255,9014,27.0,0.19,18120,4080,4848,0.033,8706,115,29.0,0.19,21734,4384,6405,0.043,3703,6171,29.0,0.205,25298,4745,196,0.046,437,3325,26.5,0.21,29035,8165,8212,0.038,816,3955,29.0,0.18,32615,4311,8055,0.055,8563,5882,27.0,0.17,36093,6422,7683,0.044,7682,6014,31.5,0.205,39696,7480,1136,0.06,1703,9960,32.0,0.21,43462,4284,682,0.044,4604,9866,32.0,0.195,46897,4013,5987,0.05,5552,1761,22.5,0.195,50520,6142,5887,0.05,2397,8299,31.5,0.185,54074,3403,286,0.041,5338,8258,29.5,0.17,57899,3281,3546,0.04,2688,914,23.0,0.165,61287,4546,5933,0.05,1998,696,29.0,0.205,64901,7222,6515,0.057,9703,315,29.5,0.185,68584,6002,7333,0.057,671,2948,27.0,0.205,72134,6466,6193,0.035,3957,2657,32.0,0.17,75907,379,7165,0.052,8106,3176,29.0,0.19,79370,1341,6536,0.05,8374,4292,23.0,0.195,82987,3060,7932,0.043,8119,4079,26.5,0.205
7,227,745,8820,0.044,2614,1434,23.0,0.195,3805,6868,5974,0.038,270,1138,32.0,0.18,7333,1174,5388,0.051,4474,1919,22.5,0.16,10915,6590,241,0.033,8749,2447,31.5,0.18,14541,2879,3345,0.045,1753,6254,32.0,0.205,18144,4238,5044,0.033,6454,7162,22.0,0.195,21744,1095,1315,0.047,8983,1332,29.0,0.17,25298,1513,4075,0.052,430,4877,22.0,0.19,29073,4624,6306,0.047,4795,5592,29.0,0.19,32623,6528,1737,0.032,8333,1586,32.0,0.21,36094,5765,5184,0.04,7353,204,32.0,0.19,39710,8016,6337,0.047,8066,9043,22.5,0.18,43492,3431,2885,0.058,8124,9767,22.0,0.21,46902,5849,8182,0.059,4153,6412,31.5,0.16,50526,8362,6788,0.057,4854,5714,31.5,0.185,54079,1353,2869,0.051,3786,2330,22.5,0.185,57920,6408,5858,0.052,477,289,31.5,0.195,61363,3384,1349,0.039,1046,2786,29.0,0.195,64948,2826,3943,0.031,8620,4747,26.5,0.2,68586,823,2095,0.054,1263,4810,30.0,0.17,72135,1464,8744,0.05,2254,9723,23.0,0.205,75926,6633,2013,0.05,8280,8924,27.0,0.18,79382,6048,5202,0.042,8654,1586,30.0,0.205,83003,7461,4905,0.044,6563,8820,29.0,0.21
8,243,893,5721,0.052,9034,4518,26.5,0.16,3843,7130,4649,0.059,8219,9329,22.0,0.17,7374,6184,7727,0.044,3849,2627,22.5,0.205,10944,4740,4115,0.045,2097,251,29.5,0.2,14566,673,5858,0.056,3419,7484,27.0,0.195,18186,7301,6182,0.058,9270,7722,32.0,0.21,21753,3494,3475,0.044,2743,4046,30.0,0.16,25314,1507,4942,0.051,8695,3093,27.0,0.19,29112,6029,122,0.043,6080,6060,32.0,0.16,32674,8917,7149,0.043,6475,6129,29.0,0.195,36099,1241,4071,0.044,457,9465,26.5,0.165,39757,820,8114,0.035,6512,8234,32.0,0.19,43517,6438,4161,0.031,3032,80,32.0,0.17,46923,4755,4402,0.031,3740,1795,29.0,0.195,50544,5148,2208,0.054,1,8499,31.5,0.205,54079,7433,5292,0.057,5745,1868,31.5,0.19,57925,1866,6262,0.052,1765,2900,29.0,0.19,61405,6243,7899,0.039,9277,3227,32.0,0.185,64952,3613,4847,0.054,77,3465,31.5,0.2,68586,4281,2980,0.041,4306,1591,29.0,0.17,72140,1848,901,0.041,4532,1433,30.0,0.165,76019,150,3092,0.043,7104,9940,22.0,0.16,79390,4885,3220,0.038,1880,7834,22.5,0.195,83008,5738,3960,0.052,3596,7490,22.0,0.19
9,267,2938,7739,0.033,6622,6038,22.0,0.16,3883,2272,6777,0.052,3737,6854,22.5,0.165,7390,8392,5376,0.035,1347,1020,29.0,0.21,10957,7704,5515,0.056,1430,8754,32.0,0.17,14604,4856,3485,0.049,9548,7292,22.0,0.195,18187,7794,1143,0.033,9680,8708,27.0,0.185,21763,6467,241,0.054,6874,511,27.0,0.205,25340,2302,7886,0.058,892,436,29.5,0.185,29123,1306,2969,0.039,5066,9291,30.0,0.21,32692,232,8015,0.053,8011,9198,26.5,0.205,36143,3004,4762,0.05,2677,2848,26.5,0.18,39801,1936,3938,0.053,3143,3666,27.0,0.16,43520,8386,4631,0.034,4980,1466,31.5,0.17,46935,678,8768,0.052,2414,6128,27.0,0.185,50564,2324,8592,0.032,923,7504,22.5,0.165,54211,8949,5970,0.043,2879,9441,30.0,0.2,57926,8662,3626,0.046,1820,4498,29.5,0.21,61405,5911,2747,0.056,3742,2865,26.5,0.165,64974,962,201,0.049,3559,7623,29.0,0.19,68637,4068,5810,0.036,1810,7522,22.0,0.17,72193,2795,378,0.03,8501,352,29.5,0.17,76075,4865,1014,0.036,9467,9710,23.0,0.19,79421,3570,3442,0.053,2336,823,23.0,0.185,83024,1601,4912,0.054,626,9384,29.5,0.185
