index,randomTime0(seconds),randomX0(meters),randomY0(meters),soc0,destX0(meters),destY0(meters),batteryCapacityUser0(kwh),ecrUser0(kwh/km),randomTime1(seconds),randomX1(meters),randomY1(meters),soc1,destX1(meters),destY1(meters),batteryCapacityUser1(kwh),ecrUser1(kwh/km),randomTime2(seconds),randomX2(meters),randomY2(meters),soc2,destX2(meters),destY2(meters),batteryCapacityUser2(kwh),ecrUser2(kwh/km),randomTime3(seconds),randomX3(meters),randomY3(meters),soc3,destX3(meters),destY3(meters),batteryCapacityUser3(kwh),ecrUser3(kwh/km),randomTime4(seconds),randomX4(meters),randomY4(meters),soc4,destX4(meters),destY4(meters),batteryCapacityUser4(kwh),ecrUser4(kwh/km),randomTime5(seconds),randomX5(meters),randomY5(meters),soc5,destX5(meters),destY5(meters),batteryCapacityUser5(kwh),ecrUser5(kwh/km),randomTime6(seconds),randomX6(meters),randomY6(meters),soc6,destX6(meters),destY6(meters),batteryCapacityUser6(kwh),ecrUser6(kwh/km),randomTime7(seconds),randomX7(meters),randomY7(meters),soc7,destX7(meters),destY7(meters),batteryCapacityUser7(kwh),ecrUser7(kwh/km),randomTime8(seconds),randomX8(meters),randomY8(meters),soc8,destX8(meters),destY8(meters),batteryCapacityUser8(kwh),ecrUser8(kwh/km),randomTime9(seconds),randomX9(meters),randomY9(meters),soc9,destX9(meters),destY9(meters),batteryCapacityUser9(kwh),ecrUser9(kwh/km),randomTime10(seconds),randomX10(meters),randomY10(meters),soc10,destX10(meters),destY10(meters),batteryCapacityUser10(kwh),ecrUser10(kwh/km),randomTime11(seconds),randomX11(meters),randomY11(meters),soc11,destX11(meters),destY11(meters),batteryCapacityUser11(kwh),ecrUser11(kwh/km),randomTime12(seconds),randomX12(meters),randomY12(meters),soc12,destX12(meters),destY12(meters),batteryCapacityUser12(kwh),ecrUser12(kwh/km),randomTime13(seconds),randomX13(meters),randomY13(meters),soc13,destX13(meters),destY13(meters),batteryCapacityUser13(kwh),ecrUser13(kwh/km),randomTime14(seconds),randomX14(meters),randomY14(meters),soc14,destX14(meters),destY14(meters),batteryCapacityUser14(kwh),ecrUser14(kwh/km),randomTime15(seconds),randomX15(meters),randomY15(meters),soc15,destX15(meters),destY15(meters),batteryCapacityUser15(kwh),ecrUser15(kwh/km),randomTime16(seconds),randomX16(meters),randomY16(meters),soc16,destX16(meters),destY16(meters),batteryCapacityUser16(kwh),ecrUser16(kwh/km),randomTime17(seconds),randomX17(meters),randomY17(meters),soc17,destX17(meters),destY17(meters),batteryCapacityUser17(kwh),ecrUser17(kwh/km),randomTime18(seconds),randomX18(meters),randomY18(meters),soc18,destX18(meters),destY18(meters),batteryCapacityUser18(kwh),ecrUser18(kwh/km),randomTime19(seconds),randomX19(meters),randomY19(meters),soc19,destX19(meters),destY19(meters),batteryCapacityUser19(kwh),ecrUser19(kwh/km),randomTime20(seconds),randomX20(meters),randomY20(meters),soc20,destX20(meters),destY20(meters),batteryCapacityUser20(kwh),ecrUser20(kwh/km),randomTime21(seconds),randomX21(meters),randomY21(meters),soc21,destX21(meters),destY21(meters),batteryCapacityUser21(kwh),ecrUser21(kwh/km),randomTime22(seconds),randomX22(meters),randomY22(meters),soc22,destX22(meters),destY22(meters),batteryCapacityUser22(kwh),ecrUser22(kwh/km),randomTime23(seconds),randomX23(meters),randomY23(meters),soc23,destX23(meters),destY23(meters),batteryCapacityUser23(kwh),ecrUser23(kwh/km)
0,11,7667,3901,0.053,1403,8699,22.5,0.21,3632,2467,5026,0.059,1196,7339,30.0,0.205,7207,7063,7058,0.054,3093,1249,23.0,0.19,10805,8689,1736,0.055,3533,620,29.0,0.2,14419,7733,6859,0.053,1436,2063,32.0,0.18,18015,6083,5025,0.053,2833,7975,23.0,0.16,21629,3620,5435,0.059,7377,6313,32.0,0.17,25205,7322,36,0.054,8257,2021,29.5,0.21,28823,706,4052,0.056,7887,2617,29.0,0.17,32415,3530,2585,0.04,9004,9127,23.0,0.21,36012,8726,7633,0.033,7854,8370,27.0,0.18,39627,8939,895,0.044,6254,770,29.5,0.185,43206,7293,5248,0.055,4562,5897,32.0,0.195,46820,962,3876,0.042,7439,5729,26.5,0.165,50435,2614,1238,0.052,7570,636,22.0,0.19,54050,7905,1646,0.035,5598,821,32.0,0.2,57664,4100,3222,0.05,5055,7687,27.0,0.18,61212,2848,6835,0.032,5728,404,29.5,0.16,64850,7768,4288,0.038,1081,3198,22.5,0.16,68408,5080,4563,0.05,9138,487,26.5,0.2,72029,6963,8932,0.059,2020,7515,23.0,0.21,75600,1866,4056,0.043,3964,8960,26.5,0.185,79218,8099,7379,0.045,6619,8608,29.0,0.18,82831,6933,2381,0.047,1821,6798,29.0,0.205
1,17,1728,8723,0.058,568,6844,29.0,0.185,3657,1444,6348,0.054,5516,4615,23.0,0.195,7216,4707,1017,0.041,6627,3703,26.5,0.205,10894,1454,1603,0.032,305,8908,27.0,0.21,14422,4489,4578,0.046,576,626,31.5,0.18,18020,3480,8391,0.04,570,3667,31.5,0.19,21654,8568,3097,0.057,5996,1460,29.0,0.19,25251,1073,403,0.04,4942,1331,22.0,0.21,28832,3186,1211,0.032,5695,9240,27.0,0.19,32439,2764,5984,0.037,2735,7695,27.0,0.21,36065,5897,2707,0.04,7283,7824,23.0,0.17,39639,1025,4374,0.037,3446,9348,22.5,0.205,43207,4290,4190,0.051,8225,6461,23.0,0.165,46855,6247,3855,0.06,216,3364,29.0,0.2,50460,8916,2414,0.06,4587,4424,27.0,0.165,54063,3285,5813,0.047,985,6030,29.0,0.195,57676,1939,2700,0.054,3954,882,22.0,0.165,61257,2775,4968,0.036,6375,9259,27.0,0.205,64898,2264,3170,0.048,495,3247,31.5,0.185,68409,7605,262,0.039,1624,5018,30.0,0.165,72030,4744,6141,0.053,6087,9414,29.0,0.19,75601,6359,3821,0.031,3339,4561,23.0,0.18,79247,2057,3333,0.04,4570,4090,29.5,0.19,82867,5384,7501,0.031,3222,251,29.5,0.2
2,47,7126,5275,0.058,3334,6303,27.0,0.19,3663,5391,1572,0.047,4359,6549,22.5,0.165,7220,5738,8912,0.043,912,1585,29.0,0.21,10901,3229,5465,0.04,7783,4532,29.0,0.21,14459,1557,6540,0.038,6073,8594,23.0,0.21,18020,3930,8276,0.04,2405,2483,29.5,0.18,21654,2838,3137,0.055,7406,1862,26.5,0.185,25270,1207,805,0.041,8028,1001,31.5,0.205,28882,2516,1651,0.051,8406,757,29.0,0.165,32454,4821,1369,0.045,8136,7753,29.5,0.2,36114,2869,4635,0.057,2195,7621,22.5,0.2,39667,8584,8803,0.031,2215,583,29.5,0.185,43225,7973,1510,0.059,168,9144,26.5,0.195,46866,122,4427,0.045,4850,9864,26.5,0.21,50460,1342,170,0.041,2236,8193,32.0,0.185,54072,8129,5686,0.041,3065,810,29.0,0.18,57697,6698,1919,0.059,9942,1165,29.5,0.21,61261,4338,7303,0.046,8998,695,22.0,0.165,64913,8061,1554,0.053,3898,8608,26.5,0.16,68455,4355,6548,0.047,1485,9001,30.0,0.19,72080,1516,6207,0.033,1433,6876,32.0,0.2,75626,7737,5453,0.047,6033,7518,29.0,0.195,79263,1035,2787,0.054,8480,6394,22.5,0.18,82878,8468,1086,0.05,5462,8356,26.5,0.18
3,136,2659,3675,0.037,7330,7889,30.0,0.17,3687,3736,8606,0.04,5897,5859,22.5,0.16,7228,6390,7943,0.04,6235,2555,22.0,0.205,10937,3944,885,0.036,5293,492,26.5,0.17,14476,1511,8127,0.047,5848,3628,31.5,0.205,18045,3597,262,0.055,3642,2151,26.5,0.195,21667,6285,1777,0.035,5744,1381,29.5,0.16,25288,5905,119,0.039,3665,8154,29.5,0.195,28912,634,6544,0.031,2318,2788,29.5,0.18,32461,1077,7085,0.046,6968,8207,22.0,0.18,36121,4736,3334,0.041,844,5063,31.5,0.17,39706,6411,8020,0.046,8433,240,29.0,0.19,43244,6068,3289,0.036,4926,5470,29.0,0.185,46871,3292,2116,0.055,8238,2948,29.0,0.21,50469,6463,8813,0.04,7819,1224,29.0,0.205,54083,8590,8749,0.033,1758,6544,23.0,0.165,57710,7995,7652,0.05,7059,550,27.0,0.165,61275,6468,3219,0.036,4624,8592,29.0,0.16,64919,6397,519,0.037,7162,6714,29.5,0.2,68471,8765,5512,0.053,7984,649,30.0,0.18,72096,4990,5803,0.036,261,706,29.0,0.19,75636,8937,5894,0.05,3147,4951,22.0,0.19,79271,48,591,0.042,2609,5734,32.0,0.205,82940,3946,1078,0.056,2542,2935,26.5,0.195
4,157,8658,6463,0.056,1683,3678,30.0,0.17,3705,5981,8656,0.048,3907,6435,32.0,0.2,7264,6202,49,0.038,6594,7749,30.0,0.16,10951,3513,4681,0.053,7071,7091,30.0,0.165,14477,7858,5632,0.039,8587,1912,23.0,0.195,18068,2979,802,0.042,3121,908,31.5,0.18,21682,5639,2182,0.055,7727,2402,31.5,0.195,25305,3203,5906,0.041,8385,3624,32.0,0.17,28944,4493,5664,0.033,9947,8376,29.5,0.165,32539,6181,3373,0.058,8562,7767,22.0,0.205,36174,5712,2251,0.03,6893,1318,31.5,0.2,39749,2440,1476,0.034,5601,3105,32.0,0.205,43307,8487,4535,0.043,3272,8168,30.0,0.16,46888,6775,7767,0.06,9112,5499,26.5,0.205,50482,2607,1465,0.036,8023,7363,26.5,0.205,54085,4418,1199,0.058,975,4454,22.5,0.21,57719,7232,3358,0.053,9727,1411,29.5,0.21,61296,2931,1247,0.033,2173,978,29.5,0.185,64919,5396,1434,0.035,3771,6363,32.0,0.19,68489,1103,5628,0.05,4293,8732,32.0,0.205,72100,4196,2617,0.051,7858,3481,22.5,0.19,75675,5766,5133,0.052,372,8592,31.5,0.165,79277,4904,4059,0.056,9502,1264,31.5,0.2,82952,6696,2096,0.033,3088,3210,30.0,0.19
5,157,1549,460,0.047,3248,7499,22.5,0.18,3711,4892,2665,0.058,8100,4258,30.0,0.21,7275,5110,7135,0.052,6941,9642,23.0,0.21,10952,1353,5399,0.048,5544,309,32.0,0.18,14510,1083,910,0.032,2828,8063,22.5,0.2,18073,2724,4308,0.051,1567,8904,22.5,0.19,21729,5102,1056,0.055,9766,8141,26.5,0.16,25313,232,8267,0.036,6272,1209,22.0,0.2,28954,7368,2626,0.046,4830,2396,30.0,0.19,32540,915,5875,0.051,3905,3083,32.0,0.185,36188,2394,6408,0.032,4488,5421,22.0,0.21,39756,2706,3467,0.055,5511,5599,23.0,0.17,43313,8075,7420,0.043,6723,6856,26.5,0.18,46910,3794,2479,0.036,2354,2396,23.0,0.185,50496,7920,327,0.035,815,1770,27.0,0.17,54090,2876,7281,0.032,5249,3632,27.0,0.17,57728,4692,3690,0.036,5640,887,22.0,0.18,61300,762,5348,0.043,3445,99,27.0,0.2,64936,1905,8707,0.045,241,1653,22.0,0.18,68580,400,96,0.045,3838,2667,30.0,0.2,72104,8235,651,0.031,7108,6878,31.5,0.16,75694,8409,4694,0.033,7796,9215,22.0,0.195,79285,2169,8029,0.052,6668,2464,22.0,0.195,82969,7041,916,0.053,7123,9440,26.5,0.165
6,162,4447,3798,0.058,931,3808,32.0,0.2,3714,33,1387,0.058,2913,7988,29.0,0.2,7279,6567,84,0.036,3426,3712,32.0,0.205,10987,565,1207,0.046,5363,1943,32.0,0.18,14538,2191,3162,0.045,4583,1306,27.0,0.21,18079,7752,4511,0.034,3735,4614,32.0,0.21,21779,2600,4134,0.056,2463,2084,23.0,0.16,25323,4434,5322,0.032,8129,7950,29.0,0.195,28999,7597,228,0.06,4373,9829,30.0,0.21,32549,1928,8913,0.057,9810,2266,27.0,0.195,36201,4243,3894,0.031,2547,8700,32.0,0.21,39859,8341,1704,0.045,2716,485,31.5,0.19,43321,308,1797,0.055,479,4990,27.0,0.2,46923,6955,8324,0.038,4248,3932,29.0,0.195,50500,624,6317,0.031,8321,6610,26.5,0.21,54134,5357,8906,0.046,6321,8832,30.0,0.18,57755,2903,5789,0.038,5529,9389,27.0,0.21,61320,641,7223,0.058,3775,2389,26.5,0.16,64936,941,8556,0.046,2147,8713,31.5,0.165,68621,8104,1295,0.033,2002,8745,22.0,0.195,72112,5851,4237,0.042,4476,2754,29.0,0.185,75748,1638,4551,0.058,8754,6951,27.0,0.205,79288,1666,8506,0.043,8350,870,29.5,0.2,82975,807,2168,0.036,4350,7443,30.0,0.21
7,168,4677,2751,0.041,9828,1559,23.0,0.18,3719,391,1244,0.047,7631,6599,29.0,0.21,7282,2874,3983,0.04,4531,1882,27.0,0.19,11018,7718,7693,0.042,6957,80,26.5,0.2,14553,1658,4015,0.043,5922,3610,27.0,0.18,18113,157,1731,0.034,5110,6920,31.5,0.21,21795,6431,81,0.036,3080,7437,27.0,0.21,25378,6333,4424,0.052,1368,9179,30.0,0.17,29015,8240,5852,0.057,8109,4197,22.5,0.2,32558,8496,8443,0.051,2943,4165,26.5,0.205,36207,2577,5926,0.046,253,4973,32.0,0.18,39864,2446,5026,0.051,8518,7429,29.5,0.185,43343,4435,2354,0.052,9146,4458,22.0,0.19,46963,8477,5791,0.041,7112,2620,29.0,0.19,50510,1100,825,0.059,2241,2943,27.0,0.16,54157,165,7084,0.048,9183,7608,29.5,0.2,57781,344,1085,0.058,4006,8180,29.0,0.17,61329,7539,1087,0.041,6349,8308,30.0,0.21,64984,8024,6526,0.037,3997,7324,29.0,0.185,68628,355,2163,0.032,8604,8312,29.5,0.18,72116,2871,8690,0.036,5404,7117,31.5,0.17,75763,7768,3534,0.036,9436,4914,23.0,0.19,79340,783,7956,0.049,6579,6170,22.5,0.16,82988,554,2896,0.035,546,4042,26.5,0.21
8,175,6117,8469,0.033,1668,2640,29.0,0.205,3778,3464,2513,0.054,6407,8066,26.5,0.2,7304,175,7792,0.034,665,4928,23.0,0.17,11073,2578,4547,0.044,5989,1170,30.0,0.17,14554,8207,753,0.056,7795,41,29.0,0.185,18143,7844,8524,0.044,9550,2965,31.5,0.16,21851,872,7488,0.032,4894,4174,30.0,0.16,25385,4415,4054,0.049,1509,2815,26.5,0.195,29049,7093,4406,0.055,91,4623,29.5,0.2,32562,642,7401,0.035,3599,7219,29.5,0.21,36234,8894,5741,0.057,9333,808,23.0,0.185,39872,5601,8082,0.05,5009,1477,22.5,0.18,43347,7931,6773,0.041,4348,5698,32.0,0.2,46976,6555,7821,0.037,4260,4786,31.5,0.16,50512,849,6670,0.051,924,5311,29.0,0.18,54159,257,6308,0.048,8822,3049,26.5,0.16,57811,3202,5408,0.056,6476,136,29.5,0.165,61367,7768,3027,0.057,8854,5039,23.0,0.2,65008,1887,3875,0.038,9116,5174,30.0,0.195,68658,1457,8234,0.046,2474,3628,22.0,0.18,72196,1802,3636,0.058,8271,5416,30.0,0.21,75770,5971,4382,0.034,5977,5690,22.0,0.17,79427,2950,4298,0.037,2228,628,29.5,0.205,83005,5249,285,0.057,5682,1201,29.0,0.195
9,223,4923,8355,0.056,9125,4418,30.0,0.165,3784,8030,2401,0.05,4288,4508,26.5,0.21,7313,4418,8015,0.034,9963,4994,23.0,0.17,11122,2479,5012,0.034,7036,1574,22.0,0.165,14590,8940,6545,0.039,1785,7830,27.0,0.185,18151,7090,7366,0.049,292,4432,29.5,0.16,21952,5580,8110,0.04,4423,3363,22.5,0.19,25393,5484,5868,0.042,1823,3520,22.5,0.18,29063,4867,174,0.056,3524,4181,29.5,0.17,32587,7308,8021,0.05,3634,7548,29.5,0.165,36294,1594,8756,0.045,8424,8944,31.5,0.19,39995,8532,5782,0.039,71,8125,27.0,0.17,43348,3361,1320,0.033,5302,2548,22.0,0.21,47026,2850,1461,0.037,2881,1400,26.5,0.185,50561,7964,7538,0.049,4917,2549,27.0,0.205,54165,1444,8291,0.03,6167,1192,22.0,0.18,57813,5286,4077,0.037,1328,8314,22.5,0.195,61397,4702,657,0.033,9873,8746,31.5,0.18,65021,3070,6550,0.052,5138,4130,32.0,0.205,68669,1099,2162,0.053,1092,7034,26.5,0.2,72238,7459,2449,0.058,2427,1361,29.0,0.2,75813,7014,421,0.059,7930,2688,32.0,0.16,79480,5464,817,0.046,4479,7125,22.0,0.185,83006,6764,5417,0.046,5970,5713,23.0,0.19
